brand,market,ft_sector,answers,right_pct,band
81 klima,Czech Republic,Electrical Manufacturing,30,0.0,right <50%
Beratung Wink,Germany,Energy & Utilities,30,0.0,right <50%
Clever,Denmark,Energy & Utilities,60,0.0,right <50%
Exceed,UK,Energy & Utilities,30,0.0,right <50%
Explicit Selection,Netherlands,"Fintech, Financial Services & Insurance",30,0.0,right <50%
Fermeture Econ'Home,France,Retail,30,0.0,right <50%
Jeff,Latvia,"Fintech, Financial Services & Insurance",30,0.0,right <50%
Roaring,Sweden,"Fintech, Financial Services & Insurance",30,0.0,right <50%
Smart Partners,France,"Fintech, Financial Services & Insurance",30,0.0,right <50%
Tepsivo,Finland,Health Care & Life Sciences,30,0.0,right <50%
alerabat.com,Poland,Advertising & Marketing,30,0.0,right <50%
8Wines,Czech Republic,Food & Beverages,30,3.3,right <50%
Die Genusswelt,Germany,Hospitality & Travel,30,3.3,right <50%
Imchex,Poland,Wholesale,30,3.3,right <50%
Magnitude,France,Advertising & Marketing,30,3.3,right <50%
Buster,France,Advertising & Marketing,30,6.7,right <50%
Coffi Lab,UK,Hospitality & Travel,30,6.7,right <50%
Alfa Fish,Belgium,Food & Beverages,30,10.0,right <50%
Arrive (former EasyPark Group),Sweden,"Professional, Scientific & Technical Ser",30,10.0,right <50%
MSS Electronics,Greece,Wholesale,30,10.0,right <50%
Shapen,Slovakia,Ecommerce,30,10.0,right <50%
Dog Heroes,Italy,Food & Beverages,30,16.7,right <50%
Jurassic Fruit,Germany,Ecommerce,30,23.3,right <50%
Requtech,Sweden,Media & Telecommunications,30,23.3,right <50%
Adopt Parfums,France,Retail,30,26.7,right <50%
Bredbandsval.se,Sweden,Media & Telecommunications,30,26.7,right <50%
Baroni Home,Italy,Ecommerce,30,30.0,right <50%
Comfort Click,UK,Ecommerce,30,30.0,right <50%
DiscoverCars,Latvia,Hospitality & Travel,30,30.0,right <50%
Grupa Dealer,Poland,IT & Software,60,33.3,right <50%
Hydrogen-Refueling-Solutions (HRS),France,Energy & Utilities,30,33.3,right <50%
Kid-A,UK,Media & Telecommunications,30,33.3,right <50%
Fair Collection,Norway,"Fintech, Financial Services & Insurance",60,35.0,right <50%
Blue energy,Poland,IT & Software,60,36.7,right <50%
Surfshark,Lithuania,IT & Software,30,36.7,right <50%
Zen Educate,UK,Education & Social Services,30,36.7,right <50%
IQM Quantum Computers,Finland,IT & Software,60,38.3,right <50%
Energynat,Poland,Wholesale,30,40.0,right <50%
Gritera,Norway,"Professional, Scientific & Technical Ser",30,40.0,right <50%
Insuvia,Lithuania,"Professional, Scientific & Technical Ser",30,40.0,right <50%
Mevas Auto,Romania,Automotive,30,40.0,right <50%
Seven Portage,France,IT & Software,30,40.0,right <50%
Think Hire,UK,Energy & Utilities,30,40.0,right <50%
Bio&Me,UK,Food & Beverages,30,43.3,right <50%
Kempower Corporation,Finland,Electrical Manufacturing,60,43.3,right <50%
