number,lotto_1999,lotto_2026,claude-sonnet-5_EN,gemini-3.7-flash_EN,gpt-5.6-luna_EN,grok-4.5_EN,mistral-large_EN,sonar_EN
1,4,3,0,0,0,0,0,0
2,4,2,0,0,0,1,0,0
3,4,3,25,0,1,43,37,2
4,2,4,0,14,96,12,1,41
5,2,7,2,2,0,23,41,0
6,3,3,0,0,0,1,0,1
7,4,8,169,175,103,107,111,138
8,3,8,1,8,0,15,18,12
9,4,8,0,0,0,4,3,1
10,2,4,0,0,0,0,0,0
11,4,4,0,0,97,3,13,40
12,3,3,2,14,0,37,107,8
13,3,4,11,1,0,2,0,3
14,2,6,119,172,103,71,0,142
15,4,3,39,10,0,19,0,0
16,7,4,0,0,0,3,0,0
17,3,5,25,3,0,42,20,11
18,3,8,0,1,1,6,0,9
19,5,4,5,11,92,49,161,36
20,1,8,0,0,0,0,0,0
21,2,3,46,0,0,1,0,1
22,3,5,101,12,103,36,0,3
23,5,7,42,173,4,108,135,144
24,6,3,3,3,0,8,0,5
25,7,6,0,0,0,4,34,0
26,2,6,1,0,0,2,0,2
27,1,6,2,7,93,22,2,42
28,4,8,59,5,0,11,17,137
29,3,3,97,0,2,31,0,3
30,2,5,0,0,0,0,0,0
31,3,10,36,155,105,111,67,15
32,3,3,1,1,0,0,1,0
33,4,4,1,12,0,21,30,36
34,5,5,37,6,1,10,58,3
35,2,2,113,11,0,15,0,136
36,3,7,7,0,93,12,6,7
37,2,5,0,1,1,22,26,8
38,3,7,36,85,105,16,1,6
39,3,5,0,2,0,5,0,0
40,2,4,0,3,0,2,0,0
41,4,6,95,25,0,47,4,7
42,1,1,56,90,0,100,81,2
43,3,6,3,0,0,0,0,0
44,0,3,25,1,86,11,11,2
45,2,4,17,72,3,23,63,2
46,4,3,0,1,103,13,0,175
47,4,2,0,12,4,7,46,1
48,3,2,0,89,4,115,33,11
49,3,4,0,23,0,9,1,8
