engine,variant,attempted,valid,distinct_tickets,modal_share_pct,neff
claude-sonnet-5,en_base,50,50,13,36.0,10.8
claude-sonnet-5,en_lottery,50,50,17,32.0,11.4
claude-sonnet-5,en_terse,50,50,16,26.0,13.3
claude-sonnet-5,en_integers,50,46,13,28.3,12.0
gemini-3.7-flash,en_base,50,50,14,62.0,9.0
gemini-3.7-flash,en_lottery,50,50,10,64.0,9.3
gemini-3.7-flash,en_terse,50,50,12,46.0,9.4
gemini-3.7-flash,en_integers,50,50,14,48.0,10.2
gpt-5.6-luna,en_base,50,50,3,96.0,6.2
gpt-5.6-luna,en_lottery,50,50,2,96.0,6.5
gpt-5.6-luna,en_terse,50,50,3,58.0,11.9
gpt-5.6-luna,en_integers,50,50,5,44.0,12.9
grok-4.5,en_base,50,50,36,8.0,23.1
grok-4.5,en_lottery,50,50,9,72.0,7.4
grok-4.5,en_terse,50,50,30,28.0,18.4
grok-4.5,en_integers,50,50,31,10.0,21.1
mistral-large,en_base,50,45,6,64.4,7.7
mistral-large,en_lottery,50,50,2,66.0,7.1
mistral-large,en_terse,50,48,13,37.5,11.9
mistral-large,en_integers,50,45,8,60.0,9.1
sonar,en_base,50,50,9,80.0,8.9
sonar,en_lottery,50,50,9,68.0,10.2
sonar,en_terse,50,50,8,82.0,8.0
sonar,en_integers,50,50,12,42.0,12.7
