industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
healthtech,6,sonar,15,22,1,22.0,True,19.0,20.81,21.62,22.0,0.946,0.983,1.0,0.913
saas,5,sonar,15,23,2,23.93,True,20.27,21.51,22.33,23.0,0.899,0.933,0.961,0.942
ecommerce,7,sonar,15,18,0,18.0,False,16.0,17.84,18.0,18.0,0.991,1.0,1.0,0.897
fintech,0,sonar,15,21,1,21.23,True,18.0,19.48,20.48,21.0,0.917,0.964,0.989,0.924
consulting,1,sonar,15,21,0,21.0,False,19.0,20.53,20.9,21.0,0.978,0.995,1.0,0.925
consulting,7,sonar,15,17,1,17.0,True,16.0,16.33,16.67,17.0,0.961,0.98,1.0,0.98
fintech,4,sonar,15,21,0,21.0,False,17.67,19.62,20.77,21.0,0.934,0.989,1.0,0.901
consulting,9,sonar,15,20,1,20.0,True,18.47,19.33,19.67,20.0,0.967,0.983,1.0,0.955
ecommerce,9,sonar,15,20,0,20.0,False,19.0,19.97,20.0,20.0,0.999,1.0,1.0,0.951
healthtech,2,sonar,15,21,1,21.0,True,19.0,20.07,20.64,21.0,0.956,0.983,1.0,0.947
ecommerce,1,sonar,15,16,0,16.0,False,15.73,16.0,16.0,16.0,1.0,1.0,1.0,0.983
ecommerce,5,sonar,15,21,0,21.0,False,16.27,19.47,20.71,21.0,0.927,0.986,1.0,0.835
fintech,5,sonar,15,20,0,20.0,False,17.33,19.61,19.99,20.0,0.98,1.0,1.0,0.884
ecommerce,2,sonar,15,19,0,19.0,False,15.4,18.61,18.98,19.0,0.979,0.999,1.0,0.828
saas,3,sonar,15,23,2,23.93,True,19.93,21.62,22.33,23.0,0.904,0.933,0.961,0.922
ecommerce,8,sonar,15,22,1,22.0,True,19.93,21.07,21.64,22.0,0.958,0.984,1.0,0.946
consulting,2,sonar,15,21,0,21.0,False,19.4,20.73,20.98,21.0,0.987,0.999,1.0,0.936
saas,0,sonar,15,19,0,19.0,False,18.87,19.0,19.0,19.0,1.0,1.0,1.0,0.993
healthtech,0,sonar,15,22,0,22.0,False,19.0,21.43,21.96,22.0,0.974,0.998,1.0,0.887
healthtech,3,sonar,15,19,0,19.0,False,18.4,19.0,19.0,19.0,1.0,1.0,1.0,0.968
consulting,5,sonar,15,22,0,22.0,False,16.07,19.43,21.43,22.0,0.883,0.974,1.0,0.827
healthtech,1,sonar,15,23,2,24.87,True,19.93,21.24,22.24,23.0,0.854,0.894,0.925,0.939
saas,6,sonar,15,18,0,18.0,False,16.27,17.76,18.0,18.0,0.987,1.0,1.0,0.916
saas,4,sonar,15,22,2,22.93,True,19.0,20.4,21.31,22.0,0.89,0.929,0.959,0.931
consulting,0,sonar,15,22,3,24.1,True,15.47,19.05,20.81,22.0,0.791,0.863,0.913,0.812
ecommerce,6,sonar,15,15,2,16.87,True,11.33,12.97,14.22,15.0,0.769,0.843,0.889,0.874
ecommerce,4,sonar,15,18,0,18.0,False,17.0,17.96,18.0,18.0,0.998,1.0,1.0,0.947
fintech,9,sonar,15,22,1,22.47,True,18.8,20.6,21.55,22.0,0.917,0.959,0.979,0.913
saas,2,sonar,15,19,1,19.0,True,17.93,18.33,18.67,19.0,0.965,0.982,1.0,0.978
healthtech,8,sonar,15,18,1,18.0,True,17.0,17.33,17.67,18.0,0.963,0.981,1.0,0.981
ecommerce,0,sonar,15,22,2,22.93,True,19.33,20.58,21.33,22.0,0.898,0.93,0.959,0.939
saas,9,sonar,15,22,0,22.0,False,18.73,20.88,21.79,22.0,0.949,0.99,1.0,0.897
healthtech,5,sonar,15,17,0,17.0,False,17.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0
healthtech,7,sonar,15,19,0,19.0,False,17.47,18.55,18.9,19.0,0.976,0.995,1.0,0.941
ecommerce,3,sonar,15,13,0,13.0,False,11.4,12.87,13.0,13.0,0.99,1.0,1.0,0.886
saas,7,sonar,15,20,0,20.0,False,19.0,19.92,20.0,20.0,0.996,1.0,1.0,0.954
fintech,2,sonar,15,17,0,17.0,False,15.73,16.94,17.0,17.0,0.996,1.0,1.0,0.929
fintech,3,sonar,15,21,0,21.0,False,19.0,20.47,20.96,21.0,0.975,0.998,1.0,0.928
consulting,3,sonar,15,23,6,37.0,True,17.0,19.0,21.0,23.0,0.514,0.568,0.622,0.895
saas,1,sonar,15,19,1,19.0,True,18.07,18.33,18.67,19.0,0.965,0.982,1.0,0.985
fintech,8,sonar,15,23,2,23.93,True,18.73,21.32,22.33,23.0,0.891,0.933,0.961,0.879
consulting,8,sonar,15,22,2,22.93,True,18.8,20.62,21.33,22.0,0.899,0.93,0.959,0.912
consulting,4,sonar,15,21,0,21.0,False,19.0,20.8,21.0,21.0,0.991,1.0,1.0,0.913
saas,8,sonar,15,22,0,22.0,False,18.53,21.14,21.88,22.0,0.961,0.995,1.0,0.877
consulting,6,sonar,15,21,0,21.0,False,17.87,19.99,20.81,21.0,0.952,0.991,1.0,0.894
fintech,7,sonar,15,22,3,24.8,True,18.93,20.0,21.0,22.0,0.806,0.847,0.887,0.947
healthtech,4,sonar,15,17,0,17.0,False,16.47,16.98,17.0,17.0,0.999,1.0,1.0,0.97
fintech,6,sonar,15,19,1,19.0,True,16.27,17.81,18.62,19.0,0.937,0.98,1.0,0.914
fintech,1,sonar,15,17,0,17.0,False,14.93,16.49,16.9,17.0,0.97,0.994,1.0,0.906
healthtech,9,sonar,15,20,0,20.0,False,18.93,19.97,20.0,20.0,0.999,1.0,1.0,0.948
