industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
healthtech,6,sonar,15,12,3,13.4,True,4.73,8.55,10.71,12.0,0.638,0.799,0.896,0.554
saas,5,sonar,15,5,1,5.0,True,4.0,4.33,4.67,5.0,0.867,0.933,1.0,0.923
consulting,4,gemini-3.7-flash,15,25,5,36.67,True,17.6,21.19,23.24,25.0,0.578,0.634,0.682,0.83
ecommerce,5,gemini-3.7-flash,15,30,1,30.0,True,19.07,27.32,29.51,30.0,0.911,0.984,1.0,0.698
ecommerce,7,sonar,15,11,2,12.87,True,6.53,8.89,10.22,11.0,0.691,0.794,0.855,0.735
fintech,0,sonar,15,8,1,8.0,True,5.13,7.19,7.67,8.0,0.899,0.958,1.0,0.714
ecommerce,5,claude-sonnet-5,15,15,2,15.93,True,11.13,12.81,14.14,15.0,0.804,0.888,0.941,0.869
ecommerce,6,gemini-3.7-flash,15,23,1,23.47,True,15.33,20.96,22.5,23.0,0.893,0.959,0.98,0.732
healthtech,9,claude-sonnet-5,15,19,4,26.47,True,10.6,15.51,17.55,19.0,0.586,0.663,0.718,0.684
fintech,7,gemini-3.7-flash,15,9,2,10.87,True,5.6,7.24,8.24,9.0,0.666,0.758,0.828,0.774
fintech,3,gpt-5.6-luna,15,7,2,8.87,True,4.27,5.24,6.24,7.0,0.591,0.704,0.789,0.815
consulting,5,gpt-5.6-luna,15,37,7,42.72,True,19.53,29.62,34.22,37.0,0.693,0.801,0.866,0.659
consulting,5,claude-sonnet-5,15,33,11,61.23,True,14.0,23.95,29.11,33.0,0.391,0.475,0.539,0.585
fintech,6,claude-sonnet-5,15,20,3,21.4,True,8.47,15.49,18.64,20.0,0.724,0.871,0.935,0.547
healthtech,1,claude-sonnet-5,15,23,4,30.47,True,10.53,18.76,21.52,23.0,0.616,0.706,0.755,0.561
healthtech,6,claude-sonnet-5,15,26,6,30.2,True,10.13,19.29,23.57,26.0,0.639,0.78,0.861,0.525
ecommerce,8,mistral-large,15,10,0,10.0,False,8.93,9.91,10.0,10.0,0.991,1.0,1.0,0.901
saas,8,claude-sonnet-5,15,13,1,13.23,True,8.6,11.2,12.45,13.0,0.846,0.941,0.982,0.768
healthtech,7,mistral-large,15,23,2,23.93,True,13.0,19.77,22.09,23.0,0.826,0.923,0.961,0.657
saas,3,claude-sonnet-5,15,13,4,20.47,True,6.47,9.6,11.56,13.0,0.469,0.565,0.635,0.674
healthtech,8,gemini-3.7-flash,15,21,6,25.2,True,8.2,14.54,18.57,21.0,0.577,0.737,0.833,0.564
fintech,4,claude-sonnet-5,15,9,2,9.93,True,6.6,7.67,8.33,9.0,0.772,0.839,0.906,0.861
saas,5,mistral-large,15,18,3,22.2,True,11.67,15.15,16.88,18.0,0.683,0.76,0.811,0.77
healthtech,5,gemini-3.7-flash,15,63,19,79.85,True,23.07,44.47,55.64,63.0,0.557,0.697,0.789,0.519
consulting,1,sonar,15,10,2,10.93,True,7.13,8.62,9.33,10.0,0.789,0.854,0.915,0.827
saas,3,gemini-3.7-flash,15,10,2,10.93,True,5.73,8.12,9.29,10.0,0.743,0.85,0.915,0.706
healthtech,5,mistral-large,15,192,34,205.16,True,69.53,142.0,176.23,192.0,0.692,0.859,0.936,0.49
consulting,2,gemini-3.7-flash,15,13,0,13.0,False,10.6,12.47,12.96,13.0,0.959,0.997,1.0,0.85
ecommerce,5,gpt-5.6-luna,15,6,0,6.0,False,4.4,5.42,5.9,6.0,0.903,0.984,1.0,0.812
fintech,3,gemini-3.7-flash,15,7,0,7.0,False,5.67,6.57,6.9,7.0,0.939,0.986,1.0,0.862
fintech,9,claude-sonnet-5,15,7,0,7.0,False,5.73,6.97,7.0,7.0,0.996,1.0,1.0,0.822
consulting,8,grok-4.5,15,10,0,10.0,False,8.4,9.73,9.98,10.0,0.973,0.998,1.0,0.863
consulting,7,sonar,15,10,0,10.0,False,7.2,9.29,9.88,10.0,0.929,0.988,1.0,0.775
fintech,4,gemini-3.7-flash,15,14,1,14.0,True,10.67,12.8,13.62,14.0,0.915,0.973,1.0,0.833
fintech,0,gpt-5.6-luna,15,10,2,10.93,True,7.0,8.4,9.31,10.0,0.769,0.852,0.915,0.833
ecommerce,8,gpt-5.6-luna,15,8,0,8.0,False,6.33,7.53,7.9,8.0,0.941,0.988,1.0,0.841
saas,1,grok-4.5,15,11,0,11.0,False,8.07,10.12,10.81,11.0,0.92,0.983,1.0,0.797
saas,1,mistral-large,15,19,2,19.93,True,13.47,17.07,18.29,19.0,0.856,0.918,0.953,0.789
healthtech,2,gpt-5.6-luna,15,9,1,9.47,True,6.0,7.86,8.57,9.0,0.831,0.905,0.951,0.763
consulting,5,grok-4.5,15,24,9,61.8,True,10.93,16.65,20.85,24.0,0.269,0.337,0.388,0.657
fintech,4,grok-4.5,15,19,3,23.2,True,9.93,15.82,17.88,19.0,0.682,0.77,0.819,0.628
ecommerce,6,mistral-large,15,33,7,38.72,True,14.67,25.21,30.19,33.0,0.651,0.78,0.852,0.582
saas,9,gemini-3.7-flash,15,7,1,7.47,True,5.2,5.9,6.57,7.0,0.791,0.88,0.938,0.881
consulting,0,claude-sonnet-5,15,14,2,14.93,True,11.07,12.58,13.33,14.0,0.843,0.893,0.938,0.88
ecommerce,7,mistral-large,15,41,0,41.0,False,25.93,38.19,40.64,41.0,0.931,0.991,1.0,0.679
healthtech,3,gpt-5.6-luna,15,24,6,28.2,True,8.87,16.97,21.54,24.0,0.602,0.764,0.851,0.522
healthtech,2,mistral-large,15,13,1,13.47,True,9.4,11.62,12.55,13.0,0.863,0.932,0.965,0.809
fintech,4,sonar,15,7,0,7.0,False,4.4,5.88,6.79,7.0,0.84,0.97,1.0,0.748
fintech,3,grok-4.5,15,8,0,8.0,False,6.47,7.72,7.98,8.0,0.965,0.997,1.0,0.838
healthtech,7,grok-4.5,15,18,1,18.23,True,12.2,16.33,17.48,18.0,0.896,0.958,0.987,0.747
saas,8,gemini-3.7-flash,15,25,5,27.92,True,11.4,18.91,22.88,25.0,0.678,0.82,0.896,0.603
fintech,9,grok-4.5,15,12,1,12.47,True,8.0,10.47,11.55,12.0,0.84,0.926,0.963,0.764
saas,7,claude-sonnet-5,15,16,5,25.33,True,8.47,12.24,14.31,16.0,0.483,0.565,0.632,0.692
fintech,4,mistral-large,15,36,3,37.4,True,18.4,30.93,34.61,36.0,0.827,0.926,0.963,0.595
healthtech,7,gpt-5.6-luna,15,18,7,29.43,True,7.33,11.9,15.45,18.0,0.404,0.525,0.612,0.616
consulting,9,sonar,15,5,3,7.8,True,2.2,3.0,4.0,5.0,0.385,0.513,0.641,0.733
ecommerce,9,sonar,15,11,3,15.2,True,6.13,8.55,9.9,11.0,0.563,0.652,0.724,0.717
consulting,4,mistral-large,15,62,6,64.8,True,34.2,53.06,59.34,62.0,0.819,0.916,0.957,0.645
consulting,7,gemini-3.7-flash,15,17,2,18.87,True,10.73,14.74,16.21,17.0,0.781,0.859,0.901,0.728
saas,7,grok-4.5,15,16,2,17.87,True,9.87,13.58,15.21,16.0,0.76,0.851,0.896,0.726
consulting,0,gpt-5.6-luna,15,19,7,38.6,True,11.27,14.33,16.67,19.0,0.371,0.432,0.492,0.786
saas,4,gemini-3.7-flash,15,8,1,8.0,True,4.87,6.98,7.66,8.0,0.873,0.957,1.0,0.697
ecommerce,5,grok-4.5,15,28,5,31.89,True,14.4,22.82,26.02,28.0,0.716,0.816,0.878,0.631
saas,4,grok-4.5,15,14,2,15.87,True,6.87,11.1,13.15,14.0,0.7,0.829,0.882,0.619
fintech,7,grok-4.5,15,15,4,18.73,True,7.2,11.16,13.45,15.0,0.596,0.718,0.801,0.645
consulting,6,grok-4.5,15,16,1,16.23,True,9.47,13.86,15.45,16.0,0.854,0.952,0.986,0.683
healthtech,9,grok-4.5,15,30,4,31.24,True,14.8,24.29,28.09,30.0,0.777,0.899,0.96,0.609
consulting,6,claude-sonnet-5,15,23,4,25.49,True,11.2,18.4,21.35,23.0,0.722,0.838,0.902,0.609
saas,0,grok-4.5,15,10,3,12.8,True,6.27,7.85,9.0,10.0,0.613,0.703,0.781,0.799
healthtech,2,sonar,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
consulting,5,mistral-large,15,36,9,45.45,True,15.6,26.86,32.55,36.0,0.591,0.716,0.792,0.581
ecommerce,1,sonar,15,7,1,7.47,True,4.27,5.89,6.57,7.0,0.788,0.88,0.938,0.725
fintech,3,mistral-large,15,12,2,12.93,True,7.27,9.75,11.14,12.0,0.754,0.862,0.928,0.745
consulting,8,claude-sonnet-5,15,9,0,9.0,False,8.13,8.96,9.0,9.0,0.995,1.0,1.0,0.908
saas,4,claude-sonnet-5,15,8,1,8.47,True,5.4,6.86,7.57,8.0,0.811,0.894,0.945,0.787
ecommerce,5,sonar,15,4,0,4.0,False,3.2,3.74,3.98,4.0,0.934,0.995,1.0,0.856
ecommerce,3,grok-4.5,15,18,1,18.16,True,10.13,15.11,17.33,18.0,0.832,0.954,0.991,0.671
ecommerce,5,mistral-large,15,43,6,44.68,True,17.27,32.8,39.95,43.0,0.734,0.894,0.962,0.526
saas,6,gpt-5.6-luna,15,10,1,10.47,True,6.2,8.38,9.53,10.0,0.8,0.91,0.955,0.74
fintech,2,gpt-5.6-luna,15,11,4,18.47,True,5.13,7.73,9.57,11.0,0.419,0.518,0.596,0.664
healthtech,4,claude-sonnet-5,15,20,6,36.8,True,8.93,14.89,17.86,20.0,0.405,0.485,0.543,0.6
healthtech,0,mistral-large,15,17,1,17.16,True,8.8,14.18,16.33,17.0,0.826,0.952,0.991,0.621
healthtech,8,gpt-5.6-luna,15,28,4,29.87,True,12.8,22.53,26.23,28.0,0.754,0.878,0.938,0.568
consulting,7,mistral-large,15,34,10,41.78,True,14.6,23.98,30.05,34.0,0.574,0.719,0.814,0.609
ecommerce,7,claude-sonnet-5,15,22,4,24.49,True,11.0,17.52,20.35,22.0,0.715,0.831,0.898,0.628
consulting,2,grok-4.5,15,15,2,16.87,True,8.4,12.36,14.17,15.0,0.733,0.84,0.889,0.679
ecommerce,1,grok-4.5,15,27,5,30.89,True,14.4,21.92,25.02,27.0,0.71,0.81,0.874,0.657
ecommerce,9,mistral-large,15,97,23,111.52,True,39.87,71.91,87.61,97.0,0.645,0.786,0.87,0.554
consulting,3,grok-4.5,15,22,2,22.93,True,11.67,18.79,21.09,22.0,0.82,0.92,0.959,0.621
fintech,1,claude-sonnet-5,15,12,2,12.93,True,6.6,9.73,11.14,12.0,0.752,0.862,0.928,0.679
consulting,1,mistral-large,15,33,4,35.49,True,21.2,28.58,31.36,33.0,0.805,0.884,0.93,0.742
ecommerce,9,claude-sonnet-5,15,26,1,26.47,True,16.2,23.74,25.53,26.0,0.897,0.965,0.982,0.683
consulting,7,gpt-5.6-luna,15,25,4,28.73,True,14.87,20.95,23.45,25.0,0.729,0.816,0.87,0.71
fintech,1,gemini-3.7-flash,15,19,4,20.87,True,8.93,14.44,17.29,19.0,0.692,0.828,0.911,0.619
fintech,6,mistral-large,15,30,4,31.49,True,14.6,24.13,28.14,30.0,0.766,0.893,0.953,0.605
healthtech,9,gemini-3.7-flash,15,22,5,27.83,True,10.07,17.05,20.11,22.0,0.613,0.723,0.79,0.59
saas,5,claude-sonnet-5,15,14,2,14.93,True,7.33,11.35,13.13,14.0,0.76,0.879,0.938,0.646
fintech,5,sonar,15,9,2,10.87,True,5.0,7.15,8.24,9.0,0.658,0.758,0.828,0.699
