industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
healthtech,6,sonar,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saas,5,sonar,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consulting,4,gemini-3.7-flash,15,10,1,10.0,True,8.2,9.33,9.67,10.0,0.933,0.967,1.0,0.879
ecommerce,5,gemini-3.7-flash,15,0,0,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
ecommerce,7,sonar,15,2,0,2.0,False,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
fintech,0,sonar,15,4,0,4.0,False,2.8,3.9,4.0,4.0,0.974,1.0,1.0,0.718
ecommerce,5,claude-sonnet-5,15,1,0,1.0,False,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8
ecommerce,6,gemini-3.7-flash,15,3,0,3.0,False,2.13,2.85,3.0,3.0,0.949,0.999,1.0,0.75
healthtech,9,claude-sonnet-5,15,4,0,4.0,False,3.87,4.0,4.0,4.0,1.0,1.0,1.0,0.967
fintech,7,gemini-3.7-flash,15,7,1,7.47,True,4.27,5.88,6.57,7.0,0.788,0.88,0.938,0.725
fintech,3,gpt-5.6-luna,15,2,0,2.0,False,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
consulting,5,gpt-5.6-luna,15,8,0,8.0,False,7.6,8.0,8.0,8.0,1.0,1.0,1.0,0.95
consulting,5,claude-sonnet-5,15,9,1,9.0,True,6.47,8.1,8.66,9.0,0.9,0.963,1.0,0.799
fintech,6,claude-sonnet-5,15,5,1,5.0,True,3.53,4.31,4.67,5.0,0.863,0.933,1.0,0.819
healthtech,1,claude-sonnet-5,15,5,2,6.87,True,1.67,3.2,4.24,5.0,0.465,0.617,0.728,0.521
healthtech,6,claude-sonnet-5,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecommerce,8,mistral-large,15,5,0,5.0,False,3.4,4.47,4.96,5.0,0.895,0.991,1.0,0.76
saas,8,claude-sonnet-5,15,4,1,4.0,True,3.07,3.33,3.67,4.0,0.833,0.917,1.0,0.92
healthtech,7,mistral-large,15,5,1,5.47,True,2.4,3.75,4.57,5.0,0.686,0.836,0.915,0.64
saas,3,claude-sonnet-5,15,2,0,2.0,False,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
healthtech,8,gemini-3.7-flash,15,3,0,3.0,False,2.0,2.57,2.9,3.0,0.857,0.968,1.0,0.778
fintech,4,claude-sonnet-5,15,6,1,6.0,True,4.73,5.33,5.67,6.0,0.889,0.944,1.0,0.888
saas,5,mistral-large,15,5,0,5.0,False,3.07,4.14,4.81,5.0,0.829,0.962,1.0,0.74
healthtech,5,gemini-3.7-flash,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consulting,1,sonar,15,7,1,7.0,True,5.07,6.29,6.67,7.0,0.898,0.952,1.0,0.806
saas,3,gemini-3.7-flash,15,5,2,6.87,True,2.27,3.24,4.24,5.0,0.472,0.617,0.728,0.7
healthtech,5,mistral-large,15,7,2,7.93,True,1.53,4.93,6.3,7.0,0.621,0.795,0.882,0.311
consulting,2,gemini-3.7-flash,15,7,0,7.0,False,6.07,6.74,6.98,7.0,0.962,0.997,1.0,0.901
ecommerce,5,gpt-5.6-luna,15,0,0,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
fintech,3,gemini-3.7-flash,15,4,1,4.0,True,2.53,3.31,3.67,4.0,0.829,0.917,1.0,0.764
fintech,9,claude-sonnet-5,15,2,0,2.0,False,1.13,1.57,1.9,2.0,0.786,0.952,1.0,0.721
consulting,8,grok-4.5,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
consulting,7,sonar,15,6,0,6.0,False,5.4,6.0,6.0,6.0,1.0,1.0,1.0,0.9
fintech,4,gemini-3.7-flash,15,7,1,7.0,True,5.87,6.33,6.67,7.0,0.905,0.952,1.0,0.926
fintech,0,gpt-5.6-luna,15,5,0,5.0,False,4.93,5.0,5.0,5.0,1.0,1.0,1.0,0.987
