industry,query_idx,union,best_single,best_share,engine_exclusive
consulting,0,29,24,0.828,9
consulting,1,39,33,0.846,10
consulting,2,23,21,0.913,6
consulting,3,92,81,0.88,60
consulting,4,69,62,0.899,28
consulting,5,62,37,0.597,24
consulting,6,44,32,0.727,16
consulting,7,44,34,0.773,16
consulting,8,21,20,0.952,7
consulting,9,70,57,0.814,31
ecommerce,0,27,22,0.815,9
ecommerce,1,47,44,0.936,16
ecommerce,2,26,23,0.885,11
ecommerce,3,55,50,0.909,25
ecommerce,4,72,63,0.875,34
ecommerce,5,56,43,0.768,26
ecommerce,6,36,33,0.917,10
ecommerce,7,49,41,0.837,22
ecommerce,8,13,10,0.769,4
ecommerce,9,117,97,0.829,51
fintech,0,38,28,0.737,14
fintech,1,34,30,0.882,16
fintech,2,22,21,0.955,8
fintech,3,13,12,0.923,5
fintech,4,36,36,1.0,15
fintech,5,43,38,0.884,15
fintech,6,44,30,0.682,10
fintech,7,36,30,0.833,18
fintech,8,49,42,0.857,24
fintech,9,16,12,0.75,4
healthtech,0,27,17,0.63,11
healthtech,1,59,38,0.644,27
healthtech,2,16,13,0.812,5
healthtech,3,71,62,0.873,38
healthtech,4,68,36,0.529,33
healthtech,5,232,192,0.828,147
healthtech,6,61,44,0.721,23
healthtech,7,35,23,0.657,13
healthtech,8,43,31,0.721,15
healthtech,9,50,35,0.7,16
saas,0,31,27,0.871,10
saas,1,20,19,0.95,6
saas,2,42,31,0.738,16
saas,3,23,20,0.87,6
saas,4,20,15,0.75,3
saas,5,26,18,0.692,9
saas,6,24,22,0.917,6
saas,7,33,26,0.788,11
saas,8,63,54,0.857,36
saas,9,14,13,0.929,1
